source,target
albujawladimir,rac1
albujawladimir,assemblea
albujawladimir,omnium
albujawladimir,MonDiari
albujawladimir,324cat
albujawladimir,tv3cat
walkaway,auronplay
walkaway,AbiertaMente
walkaway,DaniMateoAgain
walkaway,epunset
walkaway,ristomejide
walkaway,policia
walkaway,DANIROVIRA
walkaway,Buenafuente
walkaway,hdnegro
JamieBetts_PT,didito99
joseluiscarazo,didito99
didito99,ivanrakitic
didito99,SonMicroCuentos
didito99,aprendeingIes
didito99,JordiAlba
didito99,SSantiagosegura
didito99,MarcBartra
didito99,Guaje7Villa
didito99,FCBarcelona
didito99,ladygaga
didito99,Mascherano
didito99,_Pedro17_
didito99,Rafinha
didito99,LuisSuarez9
didito99,neymarjr
didito99,XabiAlonso
didito99,Carles5puyol
didito99,cesc4official
didito99,shakira
didito99,1victorvaldes
didito99,Thiago6
didito99,DaniAlvesD2
didito99,3gerardpique
didito99,paugasol
didito99,SergioRamos
didito99,andresiniesta8
didito99,Cristiano
didito99,RafaelNadal
25novembre2012,Xavier_rcde
Xavier_rcde,3gerardpique
Xavier_rcde,policia
Xavier_rcde,muyinteresante
Xavier_rcde,txarango
Xavier_rcde,MejoresTwits
Xavier_rcde,EstrellaDammCat
Xavier_rcde,auronplay
Xavier_rcde,ristomejide
Xavier_rcde,SergioRamos
Xavier_rcde,maldiniplus
Xavier_rcde,Cristiano
Xavier_rcde,As_TomasRoncero
Xavier_rcde,sport
Xavier_rcde,mundodeportivo
Esquerra_ERC,judithyalka
PereMercader,judithyalka
judithyalka,TimeOutBCN
judithyalka,instagram
judithyalka,jordievole
judithyalka,CanetRock
judithyalka,enderrock
judithyalka,losbarrankillos
judithyalka,auronplay
judithyalka,QuimMasferrer
judithyalka,EstrellaDammCat
judithyalka,GrupManel
judithyalka,PereMercader
judithyalka,elscatarres
judithyalka,txarango
judithyalka,JordiAlba
judithyalka,DaniMateoAgain
judithyalka,DaniAlvesD2
judithyalka,3gerardpique
judithyalka,DANIROVIRA
judithyalka,homo_apm
judithyalka,ristomejide
judithyalka,Buenafuente
judithyalka,Berto_Romero
judithyalka,APMTV3
xramonrivera,SonMicroCuentos
xramonrivera,aprendeingIes
xramonrivera,instagram
xramonrivera,RaholaOficial
xramonrivera,salvadostv
xramonrivera,RafaelNadal
xramonrivera,DaniMateoAgain
xramonrivera,jordievole
xramonrivera,muyinteresante
xramonrivera,XabiAlonso
xramonrivera,maldiniplus
xramonrivera,nytimes
xramonrivera,epunset
xramonrivera,ristomejide
xramonrivera,policia
xramonrivera,ladygaga
xramonrivera,shakira
xramonrivera,BarackObama
xramonrivera,perezreverte
xramonrivera,el_pais
xramonrivera,_anapastor_
Esquerra_ERC,MaxCasas5
MaxCasas5,KRLS
MaxCasas5,AdaColau
MaxCasas5,antoniobanos_
MaxCasas5,JuntsPelSi
MaxCasas5,sumate_asoc
MaxCasas5,raulromeva
MaxCasas5,EnricJuliana
MaxCasas5,gebelque
MaxCasas5,RTorquemada
MaxCasas5,rbesac
MaxCasas5,jmbartomeu
MaxCasas5,JordiAlba
MaxCasas5,ModernetdeMerda
MaxCasas5,MarcBartra
MaxCasas5,neymarjr
MaxCasas5,GrupManel
MaxCasas5,junqueras
MaxCasas5,soniagelma
MaxCasas5,Mascherano
MaxCasas5,3gerardpique
MaxCasas5,antonibassas
MaxCasas5,DaniAlvesD2
MaxCasas5,RafaelNadal
MaxCasas5,XSalaimartin
MaxCasas5,Rafinha
MaxCasas5,soler_toni
MaxCasas5,Fotlipou
MaxCasas5,jordicosta1
MaxCasas5,RogerSaperas
MaxCasas5,Carles5puyol
MaxCasas5,1victorvaldes
MaxCasas5,andresiniesta8
MaxCasas5,JoanLaportaFCB
KAHALABarcelona,gesma1983
APMTV3,gesma1983
gesma1983,KRLS
gesma1983,RaholaOficial
gesma1983,ForcadellCarme
gesma1983,maticatradio
gesma1983,MainatJM
gesma1983,barcelona_cat
gesma1983,rac1
gesma1983,MishimaBCN
gesma1983,RogerMasOficial
gesma1983,YouTube
gesma1983,HiginiaRoig
gesma1983,Catala_Correcte
gesma1983,soler_toni
gesma1983,salvadostv
gesma1983,jordievole
gesma1983,tv3cat
gesma1983,ristomejide
gesma1983,joandausa
gesma1983,elmonarac1
gesma1983,Carles5puyol
gesma1983,cesc4official
gesma1983,APMTV3
gesma1983,GrupManel
gesma1983,lacompetencia
gesma1983,jordibaste
gesma1983,diariARA
gesma1983,Quimkong
gesma1983,perezesquerdo
gesma1983,enderrock
gesma1983,ceskfreixas
gesma1983,amicsdelesarts
JamieBetts_PT,GemmaLarruy
MeteoMauri,GemmaLarruy
polcorominas,GemmaLarruy
PostureigCatala,GemmaLarruy
unilateralcat,GemmaLarruy
rauxacatalana,GemmaLarruy
jjdiaz129,GemmaLarruy
MartaDui,GemmaLarruy
assemblea,GemmaLarruy
gcapdevila,GemmaLarruy
FCBfanatics,GemmaLarruy
ConvergenciaCAT,GemmaLarruy
GemmaLarruy,Sergimas
GemmaLarruy,emparmoliner
GemmaLarruy,elmonarac1
GemmaLarruy,polcorominas
GemmaLarruy,ivanrakitic
GemmaLarruy,natzafarre
GemmaLarruy,rac1
GemmaLarruy,PostureigCatala
GemmaLarruy,unilateralcat
GemmaLarruy,txarango
GemmaLarruy,Araeslhora
GemmaLarruy,jordievole
GemmaLarruy,_anapastor_
GemmaLarruy,ForcadellCarme
GemmaLarruy,lacompetencia
GemmaLarruy,rauxacatalana
GemmaLarruy,Esquerra_ERC
GemmaLarruy,LUISENRIQUE21
GemmaLarruy,jmbartomeu
GemmaLarruy,Rafinha
GemmaLarruy,JordiAlba
GemmaLarruy,jjdiaz129
GemmaLarruy,_MaluOficial_
GemmaLarruy,MartaDui
GemmaLarruy,FCBarcelona
GemmaLarruy,junqueras
GemmaLarruy,324cat
GemmaLarruy,gcapdevila
GemmaLarruy,assemblea
GemmaLarruy,omnium
GemmaLarruy,MonDiari
GemmaLarruy,FCBfanatics
GemmaLarruy,SSantiagosegura
GemmaLarruy,Mascherano
GemmaLarruy,cupnacional
GemmaLarruy,RaholaOficial
GemmaLarruy,govern
GemmaLarruy,ConvergenciaCAT
GemmaLarruy,BibianaBallbe
GemmaLarruy,MejoresTwits
GemmaLarruy,maldiniplus
GemmaLarruy,esport3
GemmaLarruy,instagram
GemmaLarruy,As_TomasRoncero
GemmaLarruy,monicaplanas
GemmaLarruy,Catala_Correcte
GemmaLarruy,neymarjr
GemmaLarruy,MarcBartra
GemmaLarruy,DaniAlvesD2
GemmaLarruy,FCBarcelona_cat
GemmaLarruy,shakira
GemmaLarruy,1victorvaldes
GemmaLarruy,Thiago6
