group,id
2,CanBreixo
2,mariabohigassal
2,quientocaque
2,claranarvion
2,antoniobanos_
2,FLC_Austin
2,CosmoCaixa
2,UIC_UK
2,nuclearban
2,cupnacional
2,CUPBarcelona
2,mnlolle
2,ProfesoresdeELE
2,ssolerg
2,timeshighered
2,Nadine_Muller
2,MarinaGarces
2,TheMediaClash
2,RachelADolezal
2,dratarrant
2,Lahormigaseca
2,Soc_Imagination
2,yanisvaroufakis
2,OpenUniversity
2,myexeter
2,ExeterLibrary
2,marina_espasa
2,mireia_calafell
2,KathViner
2,academiccreator
2,fundaciomiro
2,whjm
2,LeticiaDolera
2,ColellJudith
2,suellr
2,BBCWomansHour
2,TivertonMuseum
2,MidDevonGazette
2,tivertonballoon
2,lassinsombrero
2,atd_manchester
2,AQA
2,ocrexams
2,LanguageLog
2,Language_Today
2,Babelzine
2,LVGXVIII
2,SIS_EES
2,__BAAL
2,SentitCritic
2,peixco
2,AngelesCarreres
2,ELEUK2014
2,GDBacademy
2,sophiescott
2,connie_stlouis
2,schemaly
2,Talkalang
2,EscriptorsAELC
2,Sabata_CAT
2,StaffLearning
2,palmirafreixa
2,LanguageCrawler
2,SBNoticies
2,AjSantBoi
2,Paperdevidre
2,BhseLanguage
2,CCS_QMUL
2,berghahnbooks
2,elbaixcat
2,EssenceExe
2,shillorganics
2,GillWycs
2,DevonCC
2,kl07a
2,TSUOxford
2,nakyelken
2,ITF_Forum
2,lachetaller
2,Stromae
2,Barbijaputa
2,xavieraldekoa
2,OpenLanguagesTW
2,RogerPala
2,FLAMEresearch
2,EUInterpreters
2,xavi_cs
2,ValKinoo
2,CypressGrovers
2,marccolell
2,cowgirlcreamery
2,NetworkSW
2,RoutesSouthWest
2,lluciaramis
2,nationaltrust
2,laiabonetrull
2,nausicaabo
2,EnglishHeritage
2,liveprojectbcn
2,salvadostv
2,bielduran
2,ScrapTrident
2,FaslanePeace
2,paufreixas
2,CitesTV3
2,ict4mfl
2,Routesintolangs
2,candidagould
2,enciclopediaCAT
2,txarango
2,jaumeponsalorda
2,EduCaixa_CAT
2,montsegatell1
2,natzafarre
2,Bcnsingular
2,Refugees
2,monicaplanas
2,asalvaire
2,TEDxBcnWomen
2,Cities_Today
2,ICLEI_Europe
2,ICLEI_ResCities
2,DanPriceSeattle
2,ICLEI
2,Sala33cinema
2,itineraplus
2,elslaietans
2,RIU_Musica_PPCC
2,UniversitiesUK
2,IIP
2,CatalanWeekend
2,rtorourke
2,TeachersNet
2,WeAreTeachers
2,RoutledgeEOE
2,RoutledgeEd
2,Routledge_MandC
2,educationarena
2,gemmaubasart
2,TeresaSolana1
2,diariARA
2,LectorOdissea
2,BCNxVer
2,SWCOLT2016
2,CASLS_NFLRC
2,csctfl
2,AATSPglobal
2,CCFLT
2,actfl
2,LRB
2,lit_hum
2,RoutledgeLing
2,SilviabelB
2,jiscmailhelp
2,CorrectCorrecte
2,UNITAR
2,girtonhispanist
2,ILAS_SAS
2,mmdelgado1
2,TheTLS
2,ortografia_
2,internetarchive
2,openculture
2,LucieSoullier
2,BarcelonaTeatre
2,C4LPT
2,Lg_on_the_Move
2,optimotcat
2,amyjccuddy
2,NewsCat_TV
2,elssegadorsTV
2,EcoFem2015
2,30minuts
2,GELA1092
2,belenfabra
2,meriripoll
2,cineespanol
2,RastresDeSandal
2,WIN_NYC
2,takeleadwomen
2,mhistoriacat
2,OxfordEdMFL
2,bcndesapareguda
2,WeRContinuum
2,Observatori_UAB
2,Xavier_Artigas
2,MariamMartinezB
2,CatalunyaPlural
2,Jaumeasens
2,ciutatmorta
2,aaltafaj
2,rmchase
2,edmodo
2,blendspace
2,CEOsforCities
2,globalurbanist
2,BridgetChristie
2,gdnlongread
2,wself
2,FarmFoodNature
2,planetizen
2,guardiancities
2,100ResCities
2,Sia
2,QUBLangCent
2,RosettaStoneEd
2,LangTechLeeds
2,LangTeachersIre
2,jwyburd
2,Cambridge_LC
2,CooperativesCAT
2,Coop57Catalunya
2,SomEnergia
2,fangisetge
2,QuimMonzo
2,MConstruyendo
2,langlandscape
2,KrayolaSky
